ExpressionSampleName,Sample,Replicate
Root - Cortex 5 Days,Root - Cortex_5 Days,Root - Cortex_5 Days_2
Root - Cortex 5 Days,Root - Cortex_5 Days,Root - Cortex_5 Days_3
Root - Cortex 5 Days,Root - Cortex_5 Days,Root - Cortex_5 Days_4
Root - Elongation Zone 5 Days,Root - Elongation Zone_5 Days,Root - Elongation Zone_5 Days_1
Root - Elongation Zone 5 Days,Root - Elongation Zone_5 Days,Root - Elongation Zone_5 Days_2
Root - Elongation Zone 5 Days,Root - Elongation Zone_5 Days,Root - Elongation Zone_5 Days_3
Root - Elongation Zone 5 Days,Root - Elongation Zone_5 Days,Root - Elongation Zone_5 Days_4
Root - Meristem Zone 5 Days,Root - Meristem Zone_5 Days,Root - Meristem Zone_5 Days_1
Root - Meristem Zone 5 Days,Root - Meristem Zone_5 Days,Root - Meristem Zone_5 Days_2
Root - Meristem Zone 5 Days,Root - Meristem Zone_5 Days,Root - Meristem Zone_5 Days_3
Root - Meristem Zone 5 Days,Root - Meristem Zone_5 Days,Root - Meristem Zone_5 Days_4
,Root - Stelle_5 Days,Root - Stelle_5 Days_1
,Root - Stelle_5 Days,Root - Stelle_5 Days_2
,Root - Stelle_5 Days,Root - Stelle_5 Days_3
,Root - Stelle_5 Days,Root - Stelle_5 Days_4
Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_1
Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_2
Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_3
Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_4
Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_1
Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_2
Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_3
Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_4
Secondary Root 7-8 Days,Secondary Root_7-8 Days,Secondary Root_7-8 Days_1
Secondary Root 7-8 Days,Secondary Root_7-8 Days,Secondary Root_7-8 Days_2
Secondary Root 7-8 Days,Secondary Root_7-8 Days,Secondary Root_7-8 Days_3
Secondary Root 7-8 Days,Secondary Root_7-8 Days,Secondary Root_7-8 Days_4
Silk,Silk_Collected on day of emergence (unpollinated),Silk_Collected on day of emergence (unpollinated)_1
Silk,Silk_Collected on day of emergence (unpollinated),Silk_Collected on day of emergence (unpollinated)_2
Silk,Silk_Collected on day of emergence (unpollinated),Silk_Collected on day of emergence (unpollinated)_3
Silk,Silk_Collected on day of emergence (unpollinated),Silk_Collected on day of emergence (unpollinated)_4
,Tassel,Tassel__1
,Tassel,Tassel__2
,Tassel,Tassel__3
,Tassel,Tassel__4
Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_1
Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_2
Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_3
Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_4
,W23 Pollen,W23 Pollen__1
,W23 Pollen,W23 Pollen__2
,W23 Pollen,W23 Pollen__3
,W23 Pollen,W23 Pollen__4
,W23 Pollen,W23 Pollen__5
